dist,place,address,lat,lng
東地区,倉敷東小学校,鶴形２丁目６－１０,34.5995482,133.771992
東地区,倉敷東幼稚園,鶴形２丁目８－２３,34.5991621,133.7735503
東地区,倉敷公民館,本町２－２１,35.7993633,139.599116
西地区,倉敷西小学校,中央１丁目２１－１,35.6772279,139.7857493
西地区,倉敷幼稚園,中央２丁目７－１,35.6883097,139.7768022
西地区,新田中学校,新田２６７４－３,34.5716785,133.7740511
西地区,新田公民館,新田２７２３－３,34.5717979,133.7798424
老松地区,老松小学校,老松町４丁目１０－１,34.5925627,133.7613512
老松地区,西中学校,日吉町２０５,34.5989399,133.7551069
老松地区,老松幼稚園,老松町４丁目１１－２９,34.5921794,133.7622123
老松地区,市立工業高等学校,田ノ上７１６－１,34.5923655,133.7582458
大高地区,大高小学校,堀南６２１,34.5802722,133.7569824
大高地区,葦高小学校,笹沖１４５－１,34.5715507,133.76426
大高地区,南中学校,西富井１３８７,34.5725423,133.7447781
大高地区,大高幼稚園,沖５４９－３,34.5803361,133.7560741
大高地区,葦高幼稚園,笹沖２３,34.5715174,133.7605547
大高地区,倉敷南公民館,沖新町６８－１,34.5827108,133.7533715
万寿地区,万寿小学校,浜町２丁目３－１,34.607628,133.7728113
万寿地区,万寿東小学校,福島４１０,34.6073531,133.7841245
万寿地区,東中学校,平田１５５－１００,34.6128137,133.7759778
万寿地区,万寿東幼稚園,大島２０２－２,34.6062726,133.7819969
万寿地区,倉敷東公民館,浜町２丁目２－３０,34.6067476,133.7717419
中洲地区,中洲小学校,水江１５９４－１,34.5949042,133.7452413
中洲地区,中島小学校,中島９０９－３,34.5796667,133.7368008
中洲地区,中島幼稚園,中島７１７,34.5843912,133.7380645
中洲地区,倉敷西公民館,八王寺町１９９－３,34.5990066,133.7527544
粒江地区,粒江小学校,粒江２１６１,34.5630325,133.791578
粒江地区,粒江幼稚園,粒江１７２６,34.5631297,133.7888865
粒江地区,倉敷養護学校,粒浦３８８－１,34.570137,133.7858504
帯江地区,帯江小学校,加須山５２６,34.5874161,133.7939742
帯江地区,多津美中学校,有城９８６,34.5751952,133.7997743
帯江地区,帯江幼稚園,加須山４６６－２,34.5838637,133.7949465
帯江地区,多津美公民館,加須山５０３－７,34.5862218,133.794652
中庄地区,中庄小学校,中庄２５９９,34.6153858,133.79759
中庄地区,北中学校,中庄５０５,34.6203408,133.7886548
中庄地区,中庄幼稚園,中庄２７００,34.614647,133.7987927
中庄地区,倉敷北公民館,中庄１８９５－１,34.6143248,133.7966762
菅生地区,菅生小学校,西坂５３８,34.6230378,133.7745112
菅生地区,菅生幼稚園,西坂７３８,34.6221017,133.7761472
豊洲地区,豊洲小学校,西田２０１－１,34.5938715,133.8074726
豊洲地区,東陽中学校,高須賀３１５,34.5831174,133.822222
豊洲地区,豊洲幼稚園,中帯江１４８－１,34.5962795,133.802984
西阿知地区,西阿知小学校,西阿知町西原１００３,34.5856856,133.7233074
西阿知地区,倉敷第一中学校,西阿知町１０７０,34.5841885,133.7287375
西阿知地区,西阿知幼稚園,西阿知町西原１０００,34.5852828,133.7232186
西阿知地区,西阿知公民館,西阿知町１１２２－２,34.5870882,133.7266071
藤戸地区,天城小学校,藤戸町天城２２８５,34.5613639,133.811613
藤戸地区,天城幼稚園,藤戸町天城２２７６,34.5606446,133.8128991
庄地区,庄小学校,上東７８５－２,34.6441775,133.8263136
庄地区,庄中学校,上東８１２,34.643822,133.8250776
庄地区,庄幼稚園,上東１０５１－１,34.6447469,133.8257776
庄地区,庄公民館,上東７３６－１,34.644733,133.8273719
茶屋町地区,茶屋町小学校,茶屋町早沖４５５,34.5805432,133.8418296
茶屋町地区,茶屋町東幼稚園,茶屋町早沖４４２,34.5826732,133.8292023
茶屋町地区,茶屋町西幼稚園,茶屋町２９１－５,34.5756708,133.8226782
茶屋町地区,茶屋町公民館,茶屋町１６０４－４,34.5795818,133.8284942
水島地区,第五福田小学校,水島西千鳥町４－３７,34.531308,133.7395659
水島地区,水島小学校,水島北春日町１１－１１,34.5453619,133.7421569
水島地区,連島神亀小学校,神田３丁目６－３４,34.5423786,133.7318246
水島地区,第五福田幼稚園,水島東千鳥町４－２１,34.5313525,133.7413435
水島地区,水島幼稚園,水島北幸町２－４,34.5415956,133.7406794
水島地区,水島中学校,水島北幸町３－１,34.5405762,133.7405683
水島地区,水島公民館,水島北幸町１－２,34.5401457,133.7415933
福田地区,第一福田小学校,東塚３丁目１－１,34.5281839,133.7564034
福田地区,第二福田小学校,福田町古新田３１０－２,34.5483092,133.7643551
福田地区,第三福田小学校,広江１丁目９－１,34.5200582,133.7749412
福田地区,第四福田小学校,北畝３丁目８－１,34.5464147,133.7500868
福田地区,第二福田幼稚園,福田町古新田６２０－２,34.545143,133.7664829
福田地区,福田中学校,福田町古新田５３３－１,34.5366273,133.7611418
福田地区,福田南中学校,福田町古新田７１１－４,34.5346971,133.7630334
福田地区,福田公民館,福田町古新田２７４－２１,34.5418266,133.7595889
福田地区,福田南公民館,東塚５丁目５－３５,34.5297423,133.7641084
連島地区,旭丘小学校,連島町連島１７９３,34.5643154,133.7441784
連島地区,連島西浦小学校,連島町西之浦３５７５,34.5516164,133.7205421
連島地区,連島東小学校,連島町連島８４９,34.552336,133.737646
連島地区,連島南小学校,連島町鶴新田１７０５,34.5396175,133.7169066
連島地区,連島北小学校,連島町西之浦５０６８,34.5659929,133.7184502
連島地区,霞丘小学校,連島町西之浦１４８６－１,34.557777,133.7071628
連島地区,旭丘幼稚園,連島町連島２２３９,34.5633599,133.7433369
連島地区,連島西浦幼稚園,連島町亀島新田１２６,34.549075,133.7253806
連島地区,連島東幼稚園,連島町連島２８５１,34.5559162,133.7356044
連島地区,連島北幼稚園,連島町西之浦５０６６,34.566004,133.7179892
連島地区,連島中学校,連島中央５丁目６－１,34.5455059,133.7258778
連島地区,連島南中学校,連島町鶴新田１３１０,34.5419395,133.7177426
連島地区,連島公民館,連島町西之浦４９７－１,34.5481278,133.720956
連島地区,連島南公民館,連島町鶴新田９８０－１,34.5452725,133.7155844
琴浦地区,琴浦東小学校,児島田の口３丁目１３－１,34.4732137,133.8441728
琴浦地区,琴浦西小学校,児島下の町５丁目４－５,34.4794488,133.8214187
琴浦地区,琴浦南小学校,児島下の町２丁目１６－１７,34.4700307,133.8226075
琴浦地区,琴浦北小学校,児島由加３０６８,34.4997243,133.8502135
琴浦地区,琴浦西幼稚園,児島下の町７丁目３－２１,34.4787517,133.8242713
琴浦地区,上の町幼稚園,児島上の町３丁目２－２０,34.490822,133.8173246
琴浦地区,琴浦中学校,児島下の町８丁目６－６,34.4799099,133.8313791
琴浦地区,琴浦公民館,児島下の町９丁目２－２７,34.4750967,133.8273406
琴浦地区,唐琴公民館,児島唐琴４丁目５－２０,34.4693419,133.8610523
児島地区,児島小学校,児島柳田町８５１,34.489697,133.7996509
児島地区,緑丘小学校,児島稗田町９００,34.499093,133.813747
児島地区,稗田幼稚園,児島稗田町７９３,34.4996318,133.8088584
児島地区,柳田幼稚園,児島柳田町１０１２,34.4896525,133.7948318
児島地区,小川幼稚園,児島小川町１６１０,34.4828757,133.80582
児島地区,児島中学校,児島小川４丁目７－３４,34.4759739,133.8051701
児島地区,翔南高等学校,児島稗田町１６０,34.4985403,133.8089417
児島地区,児島公民館,児島小川町３６７２－１,34.4672724,133.8108142
味野地区,味野小学校,児島味野城２丁目２－９,34.4701495,133.7993013
味野地区,味野幼稚園,児島味野城２丁目１－３４,34.4704967,133.8000873
味野地区,味野中学校,児島味野４丁目２－５６,34.4642641,133.8016262
赤崎地区,赤崎小学校,児島赤崎２丁目１－５９,34.4561538,133.7991406
赤崎地区,赤崎幼稚園,児島赤崎２丁目７－５１,34.4556205,133.797513
下津井地区,下津井東小学校,下津井田之浦２丁目４－６６,34.4395196,133.8045601
下津井地区,下津井西小学校,下津井１丁目１７－１６,34.4390807,133.7972302
下津井地区,下津井幼稚園,下津井１丁目１５－２９,34.4388782,133.795666
下津井地区,下津井中学校,下津井吹上１４０,34.4428859,133.8025212
下津井地区,下津井公民館,下津井２丁目８１５－１,34.4390085,133.7928389
本荘地区,本荘小学校,児島塩生１７５０,34.4759147,133.7753696
本荘地区,本荘幼稚園,児島塩生２１２４,34.4790835,133.7710504
本荘地区,本荘公民館,児島塩生１９５９－３,34.4768005,133.7709088
郷内地区,郷内小学校,林１０００,34.5360791,133.8196827
郷内地区,尾原分校,尾原６８９,34.5162634,133.836548
郷内地区,郷内幼稚園,林８７０,34.536154,133.8159829
郷内地区,郷内中学校,林６２０,34.5384453,133.8151246
郷内地区,郷内公民館,林７８８－１,34.5380287,133.8172578
玉島地区,玉島小学校,玉島阿賀崎３丁目３－１,34.5484611,133.6692753
玉島地区,上成小学校,玉島乙島６１９１,34.5542523,133.6939087
玉島地区,乙島小学校,玉島乙島３５００,34.5390564,133.6758108
玉島地区,乙島東小学校,玉島乙島７４７１,34.5289687,133.6830766
