区分,世帯数,男,女,計,0～4,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75以上
東町,206,214,217,431,18,15,9,25,16,22,30,25,30,24,16,33,37,36,22,73
本町,180,169,189,358,8,3,12,9,16,12,14,21,18,19,21,15,22,38,35,95
阿知１丁目,86,75,71,146,10,2,1,3,5,23,24,8,14,10,11,2,5,13,4,11
阿知２丁目,311,253,298,551,21,15,12,10,12,18,26,41,41,36,33,35,38,56,45,112
阿知３丁目,286,235,297,532,12,13,12,23,20,28,25,23,19,24,24,45,34,47,40,143
鶴形１丁目,395,314,409,723,19,28,28,15,23,40,28,41,51,43,43,38,42,78,48,158
鶴形２丁目,209,205,237,442,27,30,18,11,10,17,28,35,42,42,25,26,23,29,15,64
美和１丁目,230,202,228,430,16,21,17,19,23,33,27,27,28,26,22,27,24,28,29,63
美和２丁目,187,174,191,365,12,7,13,14,15,23,17,25,25,24,27,30,20,36,24,53
船倉町,188,173,190,363,4,8,6,16,12,11,18,17,22,21,18,25,29,43,33,80
向山,151,141,142,283,10,11,14,31,9,9,14,9,25,24,17,12,11,24,26,37
中央１丁目,241,203,251,454,18,22,8,18,22,17,24,28,37,39,27,28,31,38,30,67
中央２丁目,204,187,237,424,9,21,14,15,14,12,14,34,20,21,24,35,30,32,36,93
新田,1993,2413,2553,4966,296,307,284,289,207,285,344,389,486,386,259,240,231,286,240,437
川西町,524,417,461,878,29,22,24,26,49,64,57,65,60,56,77,47,54,63,59,126
稲荷町,485,517,557,1074,57,75,71,45,52,56,71,83,106,106,72,52,59,55,32,82
南町,375,333,394,727,22,27,36,36,16,21,31,30,54,54,47,39,36,51,42,185
石見町,248,185,240,425,6,7,19,10,20,21,24,29,42,32,30,21,33,39,27,65
白楽町,1648,1748,1981,3729,219,212,209,170,185,226,264,278,316,290,238,182,171,221,192,356
老松町１丁目,346,354,370,724,41,28,18,28,46,61,72,49,61,46,40,39,43,34,37,81
老松町２丁目,299,321,332,653,34,24,32,32,47,36,33,47,53,69,42,48,43,38,26,49
老松町３丁目,688,624,716,1340,65,55,49,57,97,96,76,90,120,118,105,92,79,71,63,107
老松町４丁目,338,313,368,681,34,34,34,26,28,38,43,54,68,52,45,37,38,54,29,67
老松町５丁目,379,439,496,935,46,57,60,61,50,65,60,63,85,83,84,51,46,41,24,59
田ノ上,905,1059,1162,2221,86,109,127,148,131,131,118,137,224,171,127,105,119,134,125,229
田ノ上新町,94,100,105,205,20,5,9,16,11,13,12,16,21,22,13,13,5,9,7,13
日吉町,930,1011,1062,2073,140,94,61,87,116,146,177,165,167,146,111,122,117,120,93,211
沖,605,714,777,1491,89,101,83,77,87,78,112,117,120,115,72,69,82,90,59,140
沖新町,582,676,731,1407,109,99,75,83,60,112,124,135,147,81,79,56,64,77,37,69
堀南,1072,1373,1308,2681,215,178,164,141,141,215,228,209,224,191,146,105,135,147,80,162
西中新田,1622,1937,2046,3983,234,197,219,257,237,275,348,283,343,302,240,207,177,201,143,320
笹沖,2732,3214,3337,6551,340,356,381,408,342,402,427,458,590,502,380,334,360,383,345,543
吉岡,637,834,849,1683,100,114,106,106,82,96,105,145,166,121,78,78,98,95,70,123
浦田,166,184,197,381,25,18,20,10,13,27,23,25,34,24,20,19,22,27,25,49
福井,1121,1378,1375,2753,120,140,153,174,153,181,169,167,253,204,184,161,158,138,129,269
東富井,1063,1335,1243,2578,174,193,174,137,166,213,204,217,254,188,133,114,92,107,86,126
西富井,1604,1879,1934,3813,208,220,182,195,188,270,246,266,313,231,212,210,259,237,220,356
上富井,1663,2073,2101,4174,213,241,283,246,255,275,232,269,387,335,209,220,204,253,197,355
四十瀬,1372,1847,1848,3695,302,259,197,245,224,275,298,309,300,289,254,182,145,135,89,192
大内,1061,1244,1312,2556,152,155,129,118,123,140,180,211,226,155,152,140,136,155,108,276
川入,1214,1253,1375,2628,142,94,107,132,129,158,207,191,227,164,171,144,124,175,164,299
寿町,186,194,192,386,12,16,9,20,27,17,19,26,25,32,23,22,19,32,22,65
北浜町,315,291,343,634,25,23,11,25,24,39,41,41,52,31,39,35,50,74,46,78
日ノ出町１丁目,260,252,290,542,18,16,22,35,26,18,34,22,54,43,42,18,31,44,29,90
日ノ出町２丁目,362,346,391,737,32,21,28,33,36,39,34,35,56,42,35,58,56,60,46,126
浜ノ茶屋,259,275,324,599,26,31,27,29,26,28,34,33,36,35,31,36,38,63,47,79
浜ノ茶屋１丁目,437,462,537,999,26,42,50,42,44,40,49,43,89,64,56,69,53,89,72,171
浜ノ茶屋２丁目,289,284,356,640,22,25,24,42,41,28,38,29,38,39,41,42,43,53,41,94
浜町１丁目,442,476,518,994,41,46,49,40,46,48,52,59,73,76,49,63,58,59,64,171
浜町２丁目,435,482,516,998,54,41,45,57,46,65,74,54,77,79,78,56,55,66,42,109
昭和１丁目,383,344,386,730,30,31,24,36,32,28,34,57,67,55,58,63,57,56,35,67
昭和２丁目,323,274,341,615,32,23,24,23,40,39,35,37,48,57,49,36,33,38,28,73
幸町,763,695,831,1526,63,83,90,71,94,83,103,96,145,140,124,79,70,66,55,164
大島,1472,1525,1788,3313,194,150,167,180,205,273,234,220,295,206,186,163,163,205,141,331
福島,1935,2292,2552,4844,256,277,335,306,249,260,271,385,449,374,242,225,244,321,241,409
平田,1334,1665,1833,3498,188,206,219,205,180,199,210,244,300,240,203,184,141,201,190,388
安江,1515,1668,2016,3684,136,184,236,280,226,204,194,221,333,259,255,199,173,209,185,390
八王寺町,755,829,946,1775,76,80,89,95,95,96,95,110,125,143,110,93,76,103,105,284
酒津,1353,1453,1641,3094,154,98,98,141,163,224,185,185,207,197,181,181,173,244,208,455
水江,2127,2533,2743,5276,276,224,260,266,241,305,327,343,434,345,309,272,321,383,341,629
中島,6939,8197,8462,16659,1006,830,866,872,877,1174,1264,1261,1418,1069,888,821,887,1155,856,1415
黒石,153,189,208,397,14,12,11,33,17,22,11,25,27,32,27,24,29,43,20,50
八軒屋,255,309,284,593,38,42,21,21,18,13,35,51,45,40,27,28,44,37,35,98
粒浦,819,1108,1222,2330,166,222,164,99,83,86,162,220,246,137,94,93,114,147,110,187
東粒浦,269,329,336,665,21,20,27,30,26,19,19,25,50,35,31,30,31,73,89,139
粒江,884,1043,1188,2231,93,129,118,121,92,83,126,139,191,150,91,93,137,181,143,344
粒江団地,404,358,398,756,26,26,36,47,36,35,27,36,60,39,33,38,59,88,71,99
羽島,1382,1409,1625,3034,161,146,132,139,135,161,194,180,232,186,194,161,173,203,174,463
二日市,551,662,717,1379,79,107,85,53,66,48,88,120,116,70,63,79,81,84,86,154
加須山,844,1078,1139,2217,130,141,128,140,109,91,134,148,194,152,119,118,108,141,126,238
倉敷ハイツ,298,314,339,653,15,18,15,30,23,13,22,24,39,38,33,30,38,83,70,162
有城,598,712,754,1466,57,56,94,119,96,75,79,68,134,132,99,78,96,92,70,121
亀山,782,944,994,1938,84,128,87,115,81,75,117,127,156,112,100,132,109,155,97,263
帯高,742,970,1020,1990,115,118,100,110,90,98,133,121,196,139,128,103,108,136,99,196
黒崎,509,552,649,1201,47,55,47,54,45,49,71,92,95,73,46,55,98,109,101,164
中庄,4096,4425,4581,9006,415,448,423,403,545,628,542,599,728,596,464,478,503,653,562,1019
鳥羽,765,754,874,1628,75,75,60,51,87,88,103,119,140,104,95,121,102,115,95,198
徳芳,1104,1098,1177,2275,69,80,84,77,133,130,131,143,153,115,131,168,190,248,157,266
中庄団地,1165,1123,1456,2579,103,159,223,181,92,74,105,137,263,180,135,93,112,203,176,343
西坂,1008,1203,1246,2449,70,85,76,92,122,99,124,121,165,116,184,187,235,268,170,335
生坂,843,1053,1063,2116,88,119,84,85,81,92,125,146,168,105,103,125,158,240,148,249
三田,342,386,362,748,29,22,24,27,66,48,51,41,65,45,27,56,44,59,51,93
浅原,236,255,287,542,12,17,21,21,27,21,17,26,32,28,30,35,37,58,49,111
西岡,795,890,933,1823,88,106,86,102,82,94,97,142,142,101,92,72,111,159,107,242
宮前,1224,1151,1199,2350,83,79,87,106,165,189,162,134,177,152,147,147,158,197,117,250
青江,524,453,437,890,23,26,26,24,45,68,88,62,58,52,45,43,54,65,59,152
祐安,130,157,178,335,16,14,17,14,15,12,23,24,26,22,10,19,19,22,30,52
中帯江,386,509,546,1055,86,57,39,51,35,60,96,85,60,60,49,44,69,71,60,133
五日市,480,591,597,1188,22,43,34,44,63,41,45,54,75,60,65,82,86,118,125,231
西田,433,626,653,1279,77,112,80,65,51,43,79,99,129,68,63,61,58,99,69,126
早高,533,797,840,1637,94,121,136,105,75,48,71,139,166,129,80,53,72,109,90,149
高須賀,247,323,346,669,33,41,44,30,35,45,38,39,61,44,40,36,24,56,38,65
西阿知町,2750,3312,3590,6902,377,317,348,376,334,460,481,469,533,479,388,373,449,509,363,646
西阿知町西原,1633,2010,2111,4121,175,192,212,230,208,222,202,260,372,265,255,254,267,263,236,508
片島町,1408,1934,2031,3965,340,279,223,207,179,243,336,353,331,257,204,152,184,233,186,258
西阿知町新田,695,853,836,1689,75,69,89,101,77,99,121,100,111,118,97,86,99,132,105,210
藤戸町天城,1969,2461,2603,5064,286,380,293,217,192,168,330,433,434,270,219,251,366,430,316,479
天城台１丁目,108,104,132,236,0,4,5,9,9,6,1,6,12,13,15,15,19,21,31,70
天城台２丁目,108,113,130,243,8,10,7,9,4,9,8,15,14,8,15,9,14,25,34,54
天城台３丁目,117,132,153,285,5,8,15,16,16,9,5,8,21,17,22,11,7,26,34,65
天城台４丁目,135,145,161,306,3,6,6,14,5,8,9,10,12,18,10,11,26,50,45,73
藤戸町藤戸,901,1128,1253,2381,73,105,184,189,108,50,89,120,213,216,133,118,106,183,164,330
上東,1924,2489,2522,5011,314,345,337,291,263,269,333,391,493,312,235,240,241,324,262,361
下庄,648,827,832,1659,136,145,81,70,62,69,143,191,137,91,60,81,93,96,61,143
栗坂,349,430,459,889,18,43,57,42,52,36,45,45,81,57,44,51,47,86,72,113
松島,843,645,784,1429,48,27,33,85,160,159,110,94,85,69,64,79,88,105,73,150
二子,530,502,588,1090,27,28,43,74,110,86,49,48,79,51,66,70,69,86,60,144
山地,610,737,781,1518,63,55,70,79,58,62,66,97,112,87,94,101,97,147,115,215
西尾,172,197,203,400,11,14,9,17,23,20,17,24,26,19,26,26,30,41,32,65
日畑,230,301,317,618,19,32,37,45,28,21,18,28,53,42,33,33,46,60,41,82
矢部,184,192,243,435,9,9,10,24,22,19,18,19,20,17,23,44,23,35,42,101
庄新町,972,1101,1195,2296,55,58,74,75,89,88,115,132,146,105,100,170,254,326,213,296
茶屋町,4841,5975,6381,12356,794,713,698,626,624,744,913,943,1114,861,722,625,587,678,565,1149
茶屋町早沖,1438,1970,2047,4017,220,330,286,203,168,153,221,303,411,259,192,186,175,251,213,446
水島海岸通１丁目,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
水島海岸通２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島海岸通３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島海岸通４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島海岸通５丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島川崎通１丁目,119,122,137,259,2,7,8,8,9,6,7,13,18,16,13,9,30,37,33,43
水島中通１丁目,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
水島中通２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島中通３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島中通４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島福崎町,17,14,13,27,0,1,0,0,0,1,2,0,1,2,1,0,4,3,5,7
水島西通１丁目,7,6,6,12,0,0,0,2,0,0,0,1,1,1,1,0,1,2,0,3
水島西通２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
水島東千鳥町,104,83,100,183,5,4,3,6,9,7,5,10,6,6,11,15,10,19,13,54
水島西千鳥町,290,225,296,521,13,19,33,37,19,16,22,26,40,39,32,21,35,44,48,77
水島相生町,288,311,330,641,34,29,36,22,32,48,35,41,57,45,36,33,24,45,39,85
水島東常盤町,174,161,163,324,11,9,12,12,13,8,17,16,22,14,19,20,26,41,28,56
水島西常盤町,155,155,142,297,12,8,6,6,13,7,20,16,25,12,15,22,21,32,30,52
水島東栄町,110,105,106,211,8,3,6,5,14,12,6,17,9,9,13,12,22,20,17,38
水島西栄町,213,206,176,382,6,6,12,18,14,14,19,24,28,21,28,15,40,37,41,59
水島東弥生町,176,165,191,356,5,11,5,10,8,11,13,16,23,29,17,15,32,42,34,85
水島西弥生町,212,189,210,399,7,17,10,11,5,15,11,15,29,19,22,25,31,60,38,84
水島東寿町,164,167,59,226,1,1,2,4,31,84,12,3,4,9,7,10,11,13,6,28
水島西寿町,74,82,89,171,7,12,11,6,7,8,12,9,14,7,9,5,9,18,12,25
水島東川町,167,177,174,351,14,14,14,18,14,16,16,21,25,27,19,18,21,36,31,47
水島南緑町,164,153,188,341,5,12,8,19,18,11,19,22,14,24,17,19,29,39,30,55
水島北緑町,112,111,85,196,2,4,6,11,5,6,6,7,10,16,13,13,20,20,22,35
水島南瑞穂町,211,207,196,403,6,13,9,12,15,16,20,11,22,25,18,30,39,56,33,78
水島北瑞穂町,122,135,121,256,4,12,9,13,9,7,13,18,16,18,14,7,29,23,23,41
水島南春日町,153,171,173,344,8,7,16,18,10,11,11,17,28,23,21,20,26,32,34,62
水島北春日町,167,147,187,334,9,11,14,13,17,11,9,20,27,21,23,16,24,36,29,54
水島南幸町,317,279,179,458,17,10,15,27,57,76,22,26,25,35,28,16,21,29,14,40
水島北幸町,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
水島青葉町,157,209,126,335,41,31,18,12,39,26,46,31,27,29,14,11,5,2,1,2
水島高砂町,16,13,16,29,1,2,1,0,1,2,0,3,4,2,0,1,2,4,1,5
神田１丁目,499,552,464,1016,55,37,47,51,55,64,81,67,90,70,61,73,61,77,52,75
神田２丁目,388,433,396,829,38,70,60,40,45,59,56,81,82,56,38,32,58,49,22,43
神田３丁目,533,616,611,1227,59,64,55,75,65,73,82,90,111,77,88,85,68,84,52,99
神田４丁目,219,226,210,436,11,14,11,27,23,20,16,28,36,31,27,25,33,34,43,57
水島明神町,133,140,137,277,8,10,12,18,16,15,14,10,29,19,25,16,15,20,20,30
水島南亀島町,293,285,239,524,12,17,7,14,44,35,44,37,25,30,23,23,39,63,45,66
水島北亀島町,318,313,273,586,19,26,26,22,23,34,28,35,34,39,50,37,56,48,32,77
福田町浦田,1125,1308,1359,2667,127,129,134,136,129,156,155,169,201,174,144,172,174,205,172,290
福田町福田,1105,1193,1315,2508,92,126,117,138,120,109,120,168,228,155,148,133,162,225,164,303
福田町古新田,2687,3364,3397,6761,394,388,418,391,362,421,490,515,646,462,335,316,345,464,314,500
北畝１丁目,818,882,830,1712,71,86,76,76,72,108,93,105,148,117,124,73,117,145,117,184
北畝２丁目,619,655,628,1283,55,52,72,58,51,59,79,85,111,82,56,59,90,111,97,166
北畝３丁目,340,419,449,868,75,66,38,49,47,48,64,74,73,40,45,33,26,53,59,78
北畝４丁目,549,641,664,1305,85,66,57,54,58,89,101,102,87,75,58,72,90,95,82,134
北畝５丁目,686,815,866,1681,81,99,113,80,74,91,90,121,158,104,90,85,97,129,102,167
北畝６丁目,753,873,903,1776,73,82,110,117,90,86,98,100,174,137,100,93,102,122,131,161
北畝７丁目,300,355,348,703,41,39,30,35,42,50,53,59,52,40,43,31,39,46,44,59
中畝１丁目,224,214,193,407,20,20,15,18,16,21,40,28,33,17,15,18,30,44,31,41
中畝２丁目,453,552,514,1066,60,80,58,64,55,57,65,77,89,69,50,52,49,89,50,102
中畝３丁目,392,429,396,825,36,33,29,37,64,61,66,55,65,48,39,42,62,59,45,84
中畝４丁目,471,538,533,1071,41,65,67,64,48,64,72,64,107,63,47,53,56,69,70,121
中畝５丁目,358,376,339,715,27,25,27,36,40,50,51,36,50,48,34,43,44,59,59,86
中畝６丁目,89,105,105,210,7,3,9,11,9,13,11,9,13,13,18,13,17,16,17,31
中畝７丁目,302,362,321,683,43,45,34,20,35,42,56,51,62,32,40,30,37,46,39,71
中畝８丁目,363,444,399,843,65,57,44,46,49,62,66,74,68,49,55,29,33,51,38,57
中畝９丁目,209,251,224,475,34,23,24,21,23,32,36,34,36,36,18,15,33,40,31,39
中畝１０丁目,258,285,278,563,27,29,26,28,38,30,41,34,49,47,25,33,27,30,44,55
福田町東塚,6,9,9,18,2,2,0,0,2,1,0,0,3,1,2,1,0,1,2,1
東塚１丁目,168,200,223,423,33,25,19,27,19,23,41,31,30,17,25,19,26,26,29,33
東塚２丁目,324,387,337,724,61,44,28,34,39,74,59,64,58,48,23,30,35,45,34,48
東塚３丁目,528,566,571,1137,56,63,63,57,45,56,88,82,90,80,48,50,77,96,64,122
東塚４丁目,535,670,664,1334,110,73,91,76,84,104,111,123,127,74,78,56,75,66,29,57
東塚５丁目,376,438,432,870,36,39,45,55,42,71,52,68,70,67,46,47,50,62,42,78
東塚６丁目,183,218,211,429,21,23,15,29,21,21,30,18,33,30,22,19,35,40,21,51
東塚７丁目,191,209,174,383,18,11,7,27,40,30,17,21,27,28,20,13,33,35,27,29
福田町南畝,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南畝１丁目,66,52,62,114,3,3,3,2,6,7,9,5,4,4,5,2,11,12,12,26
南畝２丁目,90,112,86,198,5,10,9,5,13,14,13,10,13,15,9,8,12,15,16,31
